MSOA21CD	MSOA21NM	Licence area	Licence area (alternative)
E02000960	Westminster 001	LPN	UKPN (London)
E02000967	Westminster 008	LPN	UKPN (London)
E02000977	Westminster 018	LPN	UKPN (London)
E02003237	Peterborough 001	EPN	UKPN (East)
E02003238	Peterborough 002	EPN	UKPN (East)
E02003239	Peterborough 003	EPN	UKPN (East)
E02003241	Peterborough 005	EPN	UKPN (East)
E02003259	Luton 002	EPN	UKPN (East)
E02003261	Luton 004	EPN	UKPN (East)
E02003276	Luton 019	EPN	UKPN (East)
E02003299	Thurrock 004	EPN	UKPN (East)
E02003305	Thurrock 010	EPN	UKPN (East)
E02003308	Thurrock 013	EPN	UKPN (East)
E02003312	Thurrock 017	EPN	UKPN (East)
E02003314	Medway 001	SPN	UKPN (South)
E02003315	Medway 002	SPN	UKPN (South)
E02003318	Medway 005	SPN	UKPN (South)
E02003321	Medway 008	SPN	UKPN (South)
E02003322	Medway 009	SPN	UKPN (South)
E02003323	Medway 010	SPN	UKPN (South)
E02003325	Medway 012	SPN	UKPN (South)
E02003327	Medway 014	SPN	UKPN (South)
E02003329	Medway 016	SPN	UKPN (South)
E02003330	Medway 017	SPN	UKPN (South)
E02003332	Medway 019	SPN	UKPN (South)
E02003333	Medway 020	SPN	UKPN (South)
E02003334	Medway 021	SPN	UKPN (South)
E02003335	Medway 022	SPN	UKPN (South)
E02003336	Medway 023	SPN	UKPN (South)
E02003337	Medway 024	SPN	UKPN (South)
E02003339	Medway 026	SPN	UKPN (South)
E02003341	Medway 028	SPN	UKPN (South)
E02003342	Medway 029	SPN	UKPN (South)
E02003343	Medway 030	SPN	UKPN (South)
E02003345	Medway 032	SPN	UKPN (South)
E02003346	Medway 033	SPN	UKPN (South)
E02003347	Medway 034	SPN	UKPN (South)
E02003350	Medway 037	SPN	UKPN (South)
E02003492	Brighton and Hove 002	SPN	UKPN (South)
E02003494	Brighton and Hove 004	SPN	UKPN (South)
E02003506	Brighton and Hove 016	SPN	UKPN (South)
E02003513	Brighton and Hove 023	SPN	UKPN (South)
E02003522	Brighton and Hove 032	SPN	UKPN (South)
E02003600	Central Bedfordshire 002	EPN	UKPN (East)
E02003602	Central Bedfordshire 004	EPN	UKPN (East)
E02003604	Central Bedfordshire 006	EPN	UKPN (East)
E02003613	Central Bedfordshire 015	EPN	UKPN (East)
E02003616	Bedford 001	EPN	UKPN (East)
E02003624	Bedford 009	EPN	UKPN (East)
E02003626	Bedford 011	EPN	UKPN (East)
E02003631	Bedford 016	EPN	UKPN (East)
E02003632	Bedford 017	EPN	UKPN (East)
E02003635	Bedford 020	EPN	UKPN (East)
E02003636	Central Bedfordshire 018	EPN	UKPN (East)
E02003640	Central Bedfordshire 022	EPN	UKPN (East)
E02003641	Central Bedfordshire 023	EPN	UKPN (East)
E02003645	Central Bedfordshire 027	EPN	UKPN (East)
E02003649	Central Bedfordshire 031	EPN	UKPN (East)
E02003651	Central Bedfordshire 033	EPN	UKPN (East)
E02003661	Aylesbury Vale 010	EPN	UKPN (East)
E02003662	Aylesbury Vale 011	EPN	UKPN (East)
E02003663	Aylesbury Vale 012	EPN	UKPN (East)
E02003664	Aylesbury Vale 013	EPN	UKPN (East)
E02003665	Aylesbury Vale 014	EPN	UKPN (East)
E02003669	Aylesbury Vale 018	EPN	UKPN (East)
E02003671	Aylesbury Vale 020	EPN	UKPN (East)
E02003674	Aylesbury Vale 023	EPN	UKPN (East)
E02003676	Chiltern 001	EPN	UKPN (East)
E02003678	Chiltern 003	EPN	UKPN (East)
E02003679	Chiltern 004	EPN	UKPN (East)
E02003697	Wycombe 002	EPN	UKPN (East)
E02003723	Cambridge 005	EPN	UKPN (East)
E02003738	East Cambridgeshire 007	EPN	UKPN (East)
E02003739	East Cambridgeshire 008	EPN	UKPN (East)
E02003742	Fenland 001	EPN	UKPN (East)
E02003746	Fenland 005	EPN	UKPN (East)
E02003748	Fenland 007	EPN	UKPN (East)
E02003749	Fenland 008	EPN	UKPN (East)
E02003750	Fenland 009	EPN	UKPN (East)
E02003754	Huntingdonshire 002	EPN	UKPN (East)
E02003757	Huntingdonshire 005	EPN	UKPN (East)
E02003759	Huntingdonshire 007	EPN	UKPN (East)
E02003761	Huntingdonshire 009	EPN	UKPN (East)
E02003765	Huntingdonshire 013	EPN	UKPN (East)
E02003766	Huntingdonshire 014	EPN	UKPN (East)
E02003767	Huntingdonshire 015	EPN	UKPN (East)
E02003769	Huntingdonshire 017	EPN	UKPN (East)
E02003770	Huntingdonshire 018	EPN	UKPN (East)
E02003771	Huntingdonshire 019	EPN	UKPN (East)
E02003774	Huntingdonshire 022	EPN	UKPN (East)
E02003775	South Cambridgeshire 001	EPN	UKPN (East)
E02003776	South Cambridgeshire 002	EPN	UKPN (East)
E02003777	South Cambridgeshire 003	EPN	UKPN (East)
E02003778	South Cambridgeshire 004	EPN	UKPN (East)
E02003781	South Cambridgeshire 007	EPN	UKPN (East)
E02003786	South Cambridgeshire 012	EPN	UKPN (East)
E02003787	South Cambridgeshire 013	EPN	UKPN (East)
E02003793	South Cambridgeshire 019	EPN	UKPN (East)
E02004363	Eastbourne 008	SPN	UKPN (South)
E02004365	Eastbourne 010	SPN	UKPN (South)
E02004366	Eastbourne 011	SPN	UKPN (South)
E02004368	Hastings 001	SPN	UKPN (South)
E02004371	Hastings 004	SPN	UKPN (South)
E02004372	Hastings 005	SPN	UKPN (South)
E02004376	Hastings 009	SPN	UKPN (South)
E02004382	Lewes 004	SPN	UKPN (South)
E02004386	Lewes 008	SPN	UKPN (South)
E02004387	Lewes 009	SPN	UKPN (South)
E02004388	Lewes 010	SPN	UKPN (South)
E02004391	Lewes 013	SPN	UKPN (South)
E02004393	Rother 002	SPN	UKPN (South)
E02004403	Wealden 001	SPN	UKPN (South)
E02004404	Wealden 002	SPN	UKPN (South)
E02004406	Wealden 004	SPN	UKPN (South)
E02004410	Wealden 008	SPN	UKPN (South)
E02004414	Wealden 012	SPN	UKPN (South)
E02004415	Wealden 013	SPN	UKPN (South)
E02004417	Wealden 015	SPN	UKPN (South)
E02004418	Wealden 016	SPN	UKPN (South)
E02004419	Wealden 017	SPN	UKPN (South)
E02004428	Basildon 005	EPN	UKPN (East)
E02004432	Basildon 009	EPN	UKPN (East)
E02004446	Braintree 001	EPN	UKPN (East)
E02004448	Braintree 003	EPN	UKPN (East)
E02004450	Braintree 005	EPN	UKPN (East)
E02004453	Braintree 008	EPN	UKPN (East)
E02004455	Braintree 010	EPN	UKPN (East)
E02004461	Braintree 016	EPN	UKPN (East)
E02004465	Brentwood 002	EPN	UKPN (East)
E02004469	Brentwood 006	EPN	UKPN (East)
E02004472	Brentwood 009	EPN	UKPN (East)
E02004475	Castle Point 003	EPN	UKPN (East)
E02004477	Castle Point 005	EPN	UKPN (East)
E02004478	Castle Point 006	EPN	UKPN (East)
E02004481	Castle Point 009	EPN	UKPN (East)
E02004485	Chelmsford 001	EPN	UKPN (East)
E02004506	Colchester 001	EPN	UKPN (East)
E02004508	Colchester 003	EPN	UKPN (East)
E02004509	Colchester 004	EPN	UKPN (East)
E02004514	Colchester 009	EPN	UKPN (East)
E02004518	Colchester 013	EPN	UKPN (East)
E02004530	Epping Forest 004	EPN	UKPN (East)
E02004531	Epping Forest 005	EPN	UKPN (East)
E02004532	Epping Forest 006	EPN	UKPN (East)
E02004536	Epping Forest 010	EPN	UKPN (East)
E02004540	Epping Forest 014	LPN	UKPN (London)
E02004542	Epping Forest 016	LPN	UKPN (London)
E02004543	Epping Forest 017	LPN	UKPN (London)
E02004544	Harlow 001	EPN	UKPN (East)
E02004555	Maldon 001	EPN	UKPN (East)
E02004556	Maldon 002	EPN	UKPN (East)
E02004558	Maldon 004	EPN	UKPN (East)
E02004563	Rochford 001	EPN	UKPN (East)
E02004566	Rochford 004	EPN	UKPN (East)
E02004573	Tendring 001	EPN	UKPN (East)
E02004574	Tendring 002	EPN	UKPN (East)
E02004577	Tendring 005	EPN	UKPN (East)
E02004581	Tendring 009	EPN	UKPN (East)
E02004582	Tendring 010	EPN	UKPN (East)
E02004584	Tendring 012	EPN	UKPN (East)
E02004588	Tendring 016	EPN	UKPN (East)
E02004591	Uttlesford 001	EPN	UKPN (East)
E02004594	Uttlesford 004	EPN	UKPN (East)
E02004596	Uttlesford 006	EPN	UKPN (East)
E02004599	Uttlesford 009	EPN	UKPN (East)
E02004843	Broxbourne 001	EPN	UKPN (East)
E02004845	Broxbourne 003	EPN	UKPN (East)
E02004846	Broxbourne 004	EPN	UKPN (East)
E02004848	Broxbourne 006	EPN	UKPN (East)
E02004849	Broxbourne 007	EPN	UKPN (East)
E02004851	Broxbourne 009	EPN	UKPN (East)
E02004853	Broxbourne 011	EPN	UKPN (East)
E02004854	Broxbourne 012	EPN	UKPN (East)
E02004855	Broxbourne 013	EPN	UKPN (East)
E02004856	Dacorum 001	EPN	UKPN (East)
E02004857	Dacorum 002	EPN	UKPN (East)
E02004860	Dacorum 005	EPN	UKPN (East)
E02004861	Dacorum 006	EPN	UKPN (East)
E02004864	Dacorum 009	EPN	UKPN (East)
E02004866	Dacorum 011	EPN	UKPN (East)
E02004867	Dacorum 012	EPN	UKPN (East)
E02004868	Dacorum 013	EPN	UKPN (East)
E02004869	Dacorum 014	EPN	UKPN (East)
E02004874	Dacorum 019	EPN	UKPN (East)
E02004878	East Hertfordshire 001	EPN	UKPN (East)
E02004886	East Hertfordshire 009	EPN	UKPN (East)
E02004892	East Hertfordshire 015	EPN	UKPN (East)
E02004897	Hertsmere 002	EPN	UKPN (East)
E02004899	Hertsmere 004	EPN	UKPN (East)
E02004903	Hertsmere 008	EPN	UKPN (East)
E02004904	Hertsmere 009	EPN	UKPN (East)
E02004905	Hertsmere 010	EPN	UKPN (East)
E02004911	North Hertfordshire 003	EPN	UKPN (East)
E02004915	North Hertfordshire 007	EPN	UKPN (East)
E02004927	St Albans 004	EPN	UKPN (East)
E02004928	St Albans 005	EPN	UKPN (East)
E02004929	St Albans 006	EPN	UKPN (East)
E02004930	St Albans 007	EPN	UKPN (East)
E02004931	St Albans 008	EPN	UKPN (East)
E02004932	St Albans 009	EPN	UKPN (East)
E02004933	St Albans 010	EPN	UKPN (East)
E02004934	St Albans 011	EPN	UKPN (East)
E02004935	St Albans 012	EPN	UKPN (East)
E02004936	St Albans 013	EPN	UKPN (East)
E02004937	St Albans 014	EPN	UKPN (East)
E02004938	St Albans 015	EPN	UKPN (East)
E02004939	St Albans 016	EPN	UKPN (East)
E02004942	St Albans 019	EPN	UKPN (East)
E02004944	Stevenage 001	EPN	UKPN (East)
E02004946	Stevenage 003	EPN	UKPN (East)
E02004947	Stevenage 004	EPN	UKPN (East)
E02004948	Stevenage 005	EPN	UKPN (East)
E02004950	Stevenage 007	EPN	UKPN (East)
E02004951	Stevenage 008	EPN	UKPN (East)
E02004953	Stevenage 010	EPN	UKPN (East)
E02004954	Stevenage 011	EPN	UKPN (East)
E02004955	Stevenage 012	EPN	UKPN (East)
E02004958	Three Rivers 003	EPN	UKPN (East)
E02004959	Three Rivers 004	EPN	UKPN (East)
E02004960	Three Rivers 005	EPN	UKPN (East)
E02004963	Three Rivers 008	EPN	UKPN (East)
E02004964	Three Rivers 009	EPN	UKPN (East)
E02004965	Three Rivers 010	EPN	UKPN (East)
E02004966	Three Rivers 011	EPN	UKPN (East)
E02004967	Three Rivers 012	EPN	UKPN (East)
E02004968	Watford 001	EPN	UKPN (East)
E02004972	Watford 005	EPN	UKPN (East)
E02004973	Watford 006	EPN	UKPN (East)
E02004974	Watford 007	EPN	UKPN (East)
E02004975	Watford 008	EPN	UKPN (East)
E02004976	Watford 009	EPN	UKPN (East)
E02004979	Watford 012	EPN	UKPN (East)
E02004980	Welwyn Hatfield 001	EPN	UKPN (East)
E02004982	Welwyn Hatfield 003	EPN	UKPN (East)
E02004983	Welwyn Hatfield 004	EPN	UKPN (East)
E02004984	Welwyn Hatfield 005	EPN	UKPN (East)
E02004985	Welwyn Hatfield 006	EPN	UKPN (East)
E02004987	Welwyn Hatfield 008	EPN	UKPN (East)
E02004988	Welwyn Hatfield 009	EPN	UKPN (East)
E02004990	Welwyn Hatfield 011	EPN	UKPN (East)
E02004991	Welwyn Hatfield 012	EPN	UKPN (East)
E02004994	Welwyn Hatfield 015	EPN	UKPN (East)
E02004998	Ashford 003	SPN	UKPN (South)
E02005005	Ashford 010	SPN	UKPN (South)
E02005006	Ashford 011	SPN	UKPN (South)
E02005009	Ashford 014	SPN	UKPN (South)
E02005011	Canterbury 002	SPN	UKPN (South)
E02005019	Canterbury 010	SPN	UKPN (South)
E02005021	Canterbury 012	SPN	UKPN (South)
E02005026	Canterbury 017	SPN	UKPN (South)
E02005027	Canterbury 018	SPN	UKPN (South)
E02005029	Dartford 002	SPN	UKPN (South)
E02005031	Dartford 004	SPN	UKPN (South)
E02005033	Dartford 006	SPN	UKPN (South)
E02005038	Dartford 011	SPN	UKPN (South)
E02005040	Dartford 013	SPN	UKPN (South)
E02005041	Dover 001	SPN	UKPN (South)
E02005044	Dover 004	SPN	UKPN (South)
E02005046	Dover 006	SPN	UKPN (South)
E02005048	Dover 008	SPN	UKPN (South)
E02005049	Dover 009	SPN	UKPN (South)
E02005054	Dover 014	SPN	UKPN (South)
E02005055	Gravesham 001	SPN	UKPN (South)
E02005063	Gravesham 009	SPN	UKPN (South)
E02005067	Gravesham 013	SPN	UKPN (South)
E02005078	Maidstone 011	SPN	UKPN (South)
E02005081	Maidstone 014	SPN	UKPN (South)
E02005083	Maidstone 016	SPN	UKPN (South)
E02005084	Maidstone 017	SPN	UKPN (South)
E02005085	Maidstone 018	SPN	UKPN (South)
E02005086	Maidstone 019	SPN	UKPN (South)
E02005089	Sevenoaks 003	SPN	UKPN (South)
E02005090	Sevenoaks 004	SPN	UKPN (South)
E02005091	Sevenoaks 005	SPN	UKPN (South)
E02005093	Sevenoaks 007	SPN	UKPN (South)
E02005101	Sevenoaks 015	SPN	UKPN (South)
E02005102	Shepway 001	SPN	UKPN (South)
E02005109	Shepway 008	SPN	UKPN (South)
E02005110	Shepway 009	SPN	UKPN (South)
E02005113	Shepway 012	SPN	UKPN (South)
E02005114	Shepway 013	SPN	UKPN (South)
E02005115	Swale 001	SPN	UKPN (South)
E02005116	Swale 002	SPN	UKPN (South)
E02005117	Swale 003	SPN	UKPN (South)
E02005119	Swale 005	SPN	UKPN (South)
E02005120	Swale 006	SPN	UKPN (South)
E02005131	Swale 017	SPN	UKPN (South)
E02005145	Thanet 014	SPN	UKPN (South)
E02005156	Tonbridge and Malling 008	SPN	UKPN (South)
E02005158	Tonbridge and Malling 010	SPN	UKPN (South)
E02005166	Tunbridge Wells 005	SPN	UKPN (South)
E02005168	Tunbridge Wells 007	SPN	UKPN (South)
E02005169	Tunbridge Wells 008	SPN	UKPN (South)
E02005171	Tunbridge Wells 010	SPN	UKPN (South)
E02005503	Breckland 001	EPN	UKPN (East)
E02005504	Breckland 002	EPN	UKPN (East)
E02005505	Breckland 003	EPN	UKPN (East)
E02005506	Breckland 004	EPN	UKPN (East)
E02005514	Breckland 012	EPN	UKPN (East)
E02005516	Breckland 014	EPN	UKPN (East)
E02005522	Broadland 003	EPN	UKPN (East)
E02005524	Broadland 005	EPN	UKPN (East)
E02005526	Broadland 007	EPN	UKPN (East)
E02005529	Broadland 010	EPN	UKPN (East)
E02005531	Broadland 012	EPN	UKPN (East)
E02005535	Broadland 016	EPN	UKPN (East)
E02005536	Broadland 017	EPN	UKPN (East)
E02005537	Broadland 018	EPN	UKPN (East)
E02005541	Great Yarmouth 004	EPN	UKPN (East)
E02005542	Great Yarmouth 005	EPN	UKPN (East)
E02005544	Great Yarmouth 007	EPN	UKPN (East)
E02005545	Great Yarmouth 008	EPN	UKPN (East)
E02005549	Great Yarmouth 012	EPN	UKPN (East)
E02005550	Great Yarmouth 013	EPN	UKPN (East)
E02005551	King's Lynn and West Norfolk 001	EPN	UKPN (East)
E02005552	King's Lynn and West Norfolk 002	EPN	UKPN (East)
E02005554	King's Lynn and West Norfolk 004	EPN	UKPN (East)
E02005557	King's Lynn and West Norfolk 007	EPN	UKPN (East)
E02005558	King's Lynn and West Norfolk 008	EPN	UKPN (East)
E02005559	King's Lynn and West Norfolk 009	EPN	UKPN (East)
E02005560	King's Lynn and West Norfolk 010	EPN	UKPN (East)
E02005562	King's Lynn and West Norfolk 012	EPN	UKPN (East)
E02005565	King's Lynn and West Norfolk 015	EPN	UKPN (East)
E02005570	North Norfolk 001	EPN	UKPN (East)
E02005571	North Norfolk 002	EPN	UKPN (East)
E02005575	North Norfolk 006	EPN	UKPN (East)
E02005576	North Norfolk 007	EPN	UKPN (East)
E02005582	North Norfolk 013	EPN	UKPN (East)
E02005599	South Norfolk 003	EPN	UKPN (East)
E02005600	South Norfolk 004	EPN	UKPN (East)
E02005601	South Norfolk 005	EPN	UKPN (East)
E02005606	South Norfolk 010	EPN	UKPN (East)
E02005609	South Norfolk 013	EPN	UKPN (East)
E02005958	South Oxfordshire 001	EPN	UKPN (East)
E02005960	South Oxfordshire 003	EPN	UKPN (East)
E02006232	Babergh 006	EPN	UKPN (East)
E02006235	Babergh 009	EPN	UKPN (East)
E02006237	Babergh 011	EPN	UKPN (East)
E02006261	Mid Suffolk 001	EPN	UKPN (East)
E02006265	Mid Suffolk 005	EPN	UKPN (East)
E02006267	Mid Suffolk 007	EPN	UKPN (East)
E02006268	Mid Suffolk 008	EPN	UKPN (East)
E02006269	Mid Suffolk 009	EPN	UKPN (East)
E02006274	St Edmundsbury 002	EPN	UKPN (East)
E02006284	St Edmundsbury 012	EPN	UKPN (East)
E02006285	St Edmundsbury 013	EPN	UKPN (East)
E02006291	Suffolk Coastal 005	EPN	UKPN (East)
E02006294	Suffolk Coastal 008	EPN	UKPN (East)
E02006301	Suffolk Coastal 015	EPN	UKPN (East)
E02006310	Waveney 009	EPN	UKPN (East)
E02006314	Waveney 013	EPN	UKPN (East)
E02006315	Waveney 014	EPN	UKPN (East)
E02006316	Waveney 015	EPN	UKPN (East)
E02006317	Elmbridge 001	SPN	UKPN (South)
E02006318	Elmbridge 002	SPN	UKPN (South)
E02006319	Elmbridge 003	SPN	UKPN (South)
E02006320	Elmbridge 004	SPN	UKPN (South)
E02006321	Elmbridge 005	SPN	UKPN (South)
E02006322	Elmbridge 006	SPN	UKPN (South)
E02006323	Elmbridge 007	SPN	UKPN (South)
E02006326	Elmbridge 010	SPN	UKPN (South)
E02006327	Elmbridge 011	SPN	UKPN (South)
E02006329	Elmbridge 013	SPN	UKPN (South)
E02006331	Elmbridge 015	SPN	UKPN (South)
E02006332	Elmbridge 016	SPN	UKPN (South)
E02006336	Epsom and Ewell 002	SPN	UKPN (South)
E02006338	Epsom and Ewell 004	SPN	UKPN (South)
E02006339	Epsom and Ewell 005	SPN	UKPN (South)
E02006342	Epsom and Ewell 008	SPN	UKPN (South)
E02006349	Guildford 006	SPN	UKPN (South)
E02006350	Guildford 007	SPN	UKPN (South)
E02006352	Guildford 009	SPN	UKPN (South)
E02006355	Guildford 012	SPN	UKPN (South)
E02006358	Guildford 015	SPN	UKPN (South)
E02006359	Guildford 016	SPN	UKPN (South)
E02006360	Guildford 017	SPN	UKPN (South)
E02006363	Mole Valley 002	SPN	UKPN (South)
E02006364	Mole Valley 003	SPN	UKPN (South)
E02006365	Mole Valley 004	SPN	UKPN (South)
E02006367	Mole Valley 006	SPN	UKPN (South)
E02006368	Mole Valley 007	SPN	UKPN (South)
E02006369	Mole Valley 008	SPN	UKPN (South)
E02006370	Mole Valley 009	SPN	UKPN (South)
E02006371	Mole Valley 010	SPN	UKPN (South)
E02006372	Mole Valley 011	SPN	UKPN (South)
E02006373	Mole Valley 012	SPN	UKPN (South)
E02006374	Mole Valley 013	SPN	UKPN (South)
E02006375	Reigate and Banstead 001	SPN	UKPN (South)
E02006377	Reigate and Banstead 003	SPN	UKPN (South)
E02006379	Reigate and Banstead 005	SPN	UKPN (South)
E02006381	Reigate and Banstead 007	SPN	UKPN (South)
E02006382	Reigate and Banstead 008	SPN	UKPN (South)
E02006387	Reigate and Banstead 013	SPN	UKPN (South)
E02006391	Reigate and Banstead 017	SPN	UKPN (South)
E02006400	Runnymede 008	SPN	UKPN (South)
E02006409	Spelthorne 007	SPN	UKPN (South)
E02006414	Spelthorne 012	SPN	UKPN (South)
E02006415	Spelthorne 013	SPN	UKPN (South)
E02006429	Tandridge 002	SPN	UKPN (South)
E02006434	Tandridge 007	SPN	UKPN (South)
E02006435	Tandridge 008	SPN	UKPN (South)
E02006436	Tandridge 009	SPN	UKPN (South)
E02006446	Waverley 008	SPN	UKPN (South)
E02006461	Woking 006	SPN	UKPN (South)
E02006464	Woking 009	SPN	UKPN (South)
E02006465	Woking 010	SPN	UKPN (South)
E02006540	Adur 007	SPN	UKPN (South)
E02006543	Arun 002	SPN	UKPN (South)
E02006549	Arun 008	SPN	UKPN (South)
E02006552	Arun 011	SPN	UKPN (South)
E02006582	Crawley 008	SPN	UKPN (South)
E02006588	Horsham 001	SPN	UKPN (South)
E02006592	Horsham 005	SPN	UKPN (South)
E02006594	Horsham 007	SPN	UKPN (South)
E02006598	Horsham 011	SPN	UKPN (South)
E02006599	Horsham 012	SPN	UKPN (South)
E02006605	Mid Sussex 002	SPN	UKPN (South)
E02006608	Mid Sussex 005	SPN	UKPN (South)
E02006609	Mid Sussex 006	SPN	UKPN (South)
E02006610	Mid Sussex 007	SPN	UKPN (South)
E02006615	Mid Sussex 012	SPN	UKPN (South)
E02006618	Mid Sussex 015	SPN	UKPN (South)
E02006785	Bexley 029	LPN	UKPN (London)
E02006786	Greenwich 033	LPN	UKPN (London)
E02006789	Bromley 042	SPN	UKPN (South)
E02006790	Tandridge 012	SPN	UKPN (South)
E02006794	Haringey 037	EPN	UKPN (East)
E02006823	Chiltern 013	EPN	UKPN (East)
E02006825	East Cambridgeshire 011	EPN	UKPN (East)
E02006832	Sevenoaks 016	SPN	UKPN (South)
E02006854	Tower Hamlets 033	LPN	UKPN (London)
E02006858	Eastbourne 014	SPN	UKPN (South)
E02006859	Thurrock 019	EPN	UKPN (East)
E02006879	Shepway 014	SPN	UKPN (South)
E02006880	Shepway 015	SPN	UKPN (South)
E02006907	Norwich 014	EPN	UKPN (East)
E02006921	Hackney 029	LPN	UKPN (London)
E02006928	Greenwich 035	LPN	UKPN (London)
E02006930	Greenwich 037	LPN	UKPN (London)
E02000002	Barking and Dagenham 001	EPN	UKPN (East)
E02000019	Barking and Dagenham 018	EPN	UKPN (East)
E02000092	Bexley 028	SPN	UKPN (South)
E02000102	Brent 010	LPN	UKPN (London)
E02000159	Bromley 033	SPN	UKPN (South)
E02000248	Ealing 011	LPN	UKPN (London)
E02000342	Greenwich 030	LPN	UKPN (London)
E02000526	Hounslow 001	LPN	UKPN (London)
E02000752	Redbridge 002	LPN	UKPN (London)
E02000755	Redbridge 005	LPN	UKPN (London)
E02000789	Richmond upon Thames 006	SPN	UKPN (South)
E02000800	Richmond upon Thames 017	SPN	UKPN (South)
E02000890	Tower Hamlets 027	LPN	UKPN (London)
E02000897	Waltham Forest 003	EPN	UKPN (East)
E02003317	Medway 004	SPN	UKPN (South)
E02003320	Medway 007	SPN	UKPN (South)
E02003482	Milton Keynes 024	EPN	UKPN (East)
E02003599	Central Bedfordshire 001	EPN	UKPN (East)
E02003648	Central Bedfordshire 030	EPN	UKPN (East)
E02003657	Aylesbury Vale 006	EPN	UKPN (East)
E02003683	Chiltern 008	EPN	UKPN (East)
E02003698	Wycombe 003	EPN	UKPN (East)
E02003740	East Cambridgeshire 009	EPN	UKPN (East)
E02003751	Fenland 010	EPN	UKPN (East)
E02003779	South Cambridgeshire 005	EPN	UKPN (East)
E02004405	Wealden 003	SPN	UKPN (South)
E02004409	Wealden 007	SPN	UKPN (South)
E02004447	Braintree 002	EPN	UKPN (East)
E02004502	Chelmsford 018	EPN	UKPN (East)
E02004505	Chelmsford 021	EPN	UKPN (East)
E02004529	Epping Forest 003	EPN	UKPN (East)
E02004535	Epping Forest 009	EPN	UKPN (East)
E02004858	Dacorum 003	EPN	UKPN (East)
E02004859	Dacorum 004	EPN	UKPN (East)
E02004865	Dacorum 010	EPN	UKPN (East)
E02004871	Dacorum 016	EPN	UKPN (East)
E02004877	Dacorum 022	EPN	UKPN (East)
E02004881	East Hertfordshire 004	EPN	UKPN (East)
E02004883	East Hertfordshire 006	EPN	UKPN (East)
E02004887	East Hertfordshire 010	EPN	UKPN (East)
E02004893	East Hertfordshire 016	EPN	UKPN (East)
E02004909	North Hertfordshire 001	EPN	UKPN (East)
E02004993	Welwyn Hatfield 014	EPN	UKPN (East)
E02004995	Welwyn Hatfield 016	EPN	UKPN (East)
E02005028	Dartford 001	LPN	UKPN (London)
E02005032	Dartford 005	LPN	UKPN (London)
E02005035	Dartford 008	LPN	UKPN (London)
E02005036	Dartford 009	LPN	UKPN (London)
E02005515	Breckland 013	EPN	UKPN (East)
E02005517	Breckland 015	EPN	UKPN (East)
E02005530	Broadland 011	EPN	UKPN (East)
E02005568	King's Lynn and West Norfolk 018	EPN	UKPN (East)
E02005573	North Norfolk 004	EPN	UKPN (East)
E02005574	North Norfolk 005	EPN	UKPN (East)
E02005577	North Norfolk 008	EPN	UKPN (East)
E02005578	North Norfolk 009	EPN	UKPN (East)
E02006227	Babergh 001	EPN	UKPN (East)
E02006228	Babergh 002	EPN	UKPN (East)
E02006229	Babergh 003	EPN	UKPN (East)
E02006239	Forest Heath 002	EPN	UKPN (East)
E02006263	Mid Suffolk 003	EPN	UKPN (East)
E02006276	St Edmundsbury 004	EPN	UKPN (East)
E02006282	St Edmundsbury 010	EPN	UKPN (East)
E02006283	St Edmundsbury 011	EPN	UKPN (East)
E02006287	Suffolk Coastal 001	EPN	UKPN (East)
E02006292	Suffolk Coastal 006	EPN	UKPN (East)
E02006345	Guildford 002	SPN	UKPN (South)
E02006361	Guildford 018	SPN	UKPN (South)
E02006396	Runnymede 004	SPN	UKPN (South)
E02006421	Surrey Heath 006	SPN	UKPN (South)
E02006432	Tandridge 005	SPN	UKPN (South)
E02006453	Waverley 015	SPN	UKPN (South)
E02006799	Barking and Dagenham 023	EPN	UKPN (East)
E02006855	Canterbury 019	SPN	UKPN (South)
E02006908	Norwich 015	EPN	UKPN (East)
E02000148	Bromley 022	LPN	UKPN (London)
E02000242	Ealing 005	EPN	UKPN (East)
E02000261	Ealing 024	LPN	UKPN (London)
E02000496	Hillingdon 003	EPN	UKPN (East)
E02000795	Richmond upon Thames 012	LPN	UKPN (London)
E02003240	Peterborough 004	EPN	UKPN (East)
E02005037	Dartford 010	LPN	UKPN (London)
E02006411	Spelthorne 009	SPN	UKPN (South)
E02006416	Surrey Heath 001	SPN	UKPN (South)
E02006565	Chichester 005	SPN	UKPN (South)
E02000238	Ealing 001	EPN	UKPN (East)
E02000245	Ealing 008	EPN	UKPN (East)
E02000252	Ealing 015	LPN	UKPN (London)
E02000545	Hounslow 020	SPN	UKPN (South)
E02003459	Milton Keynes 001	EPN	UKPN (East)
E02003655	Aylesbury Vale 004	EPN	UKPN (East)
E02003688	South Bucks 001	EPN	UKPN (East)
E02003699	Wycombe 004	EPN	UKPN (East)
E02003702	Wycombe 007	EPN	UKPN (East)
E02005472	South Holland 008	EPN	UKPN (East)
E02005474	South Holland 010	EPN	UKPN (East)
E02005630	East Northamptonshire 002	EPN	UKPN (East)
E02005936	Cherwell 016	EPN	UKPN (East)
E02005961	South Oxfordshire 004	EPN	UKPN (East)
E02006412	Spelthorne 010	SPN	UKPN (South)
E02006443	Waverley 005	SPN	UKPN (South)
E02006445	Waverley 007	SPN	UKPN (South)
E02006450	Waverley 012	SPN	UKPN (South)
E02006542	Arun 001	SPN	UKPN (South)
