LSOA11CD,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000130,0,0,1,1,1,1,1,1,2,2,2,3,3,4,4,5,5,5,6,6,7,7,8,8,8,9,9,9,9,9,9,9
E01000131,1,2,2,3,3,4,5,6,7,9,10,11,13,15,16,18,20,22,24,26,27,29,31,32,34,35,37,37,38,38,38,38
E01000132,0,0,0,1,1,1,1,1,2,2,2,3,3,3,4,4,5,5,5,6,6,7,7,7,8,8,8,8,9,9,9,9
E01000133,0,0,1,1,1,1,1,2,2,2,3,3,4,4,5,5,5,6,6,7,8,8,8,9,9,10,10,10,10,10,10,10
E01000134,0,0,0,1,1,1,1,1,2,2,2,2,3,3,4,4,4,5,5,6,6,6,7,7,7,8,8,8,8,8,8,8
E01000135,1,1,1,2,2,3,3,4,5,5,6,7,8,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,24,24,24,24
E01000136,1,1,1,2,2,2,3,4,4,5,6,7,8,9,10,11,12,13,15,16,17,18,19,20,21,22,22,23,23,23,23,23
E01000137,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,3,3,3,4,4,4,4,5,5,5,5,5,6,6,6,6,6
E01000138,1,1,1,1,2,2,2,3,4,5,5,6,7,8,9,10,11,12,13,14,15,16,17,17,18,19,20,20,20,20,20,20
E01000139,1,1,2,2,3,3,4,5,6,7,8,9,10,12,13,15,16,18,19,21,22,24,25,26,27,29,30,30,31,31,31,30
E01000140,0,0,1,1,1,1,1,1,2,2,2,3,3,4,4,5,5,5,6,6,7,7,8,8,8,9,9,9,9,9,9,9
E01000141,0,1,1,1,1,2,2,3,3,4,4,5,6,6,7,8,9,10,10,11,12,13,14,14,15,16,16,17,17,17,17,17
E01000142,0,0,1,1,1,1,1,2,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10,11,11,11,11,11
E01000143,0,0,0,1,1,1,1,1,2,2,2,3,3,3,4,4,5,5,5,6,6,7,7,7,8,8,8,8,8,8,8,8
E01000144,0,0,0,1,1,1,1,1,2,2,2,2,3,3,4,4,4,5,5,6,6,6,7,7,7,8,8,8,8,8,8,8
E01000145,1,1,1,2,2,3,3,4,5,5,6,7,8,9,11,12,13,14,15,16,18,19,20,21,22,23,23,24,24,24,24,24
E01000146,0,0,1,1,1,1,1,1,2,2,2,3,3,3,4,4,5,5,6,6,6,7,7,8,8,8,9,9,9,9,9,9
E01000147,1,2,3,3,4,5,6,7,9,10,12,13,16,18,20,22,24,26,28,31,33,35,37,39,41,43,44,45,45,45,45,45
E01000148,0,0,1,1,1,1,1,2,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10,11,11,11,11,11
E01000150,1,1,2,2,3,4,4,5,6,7,9,10,11,13,14,16,18,19,21,22,24,26,27,28,30,31,32,33,33,33,33,33
E01000151,0,0,1,1,1,1,1,1,2,2,2,3,3,4,4,5,5,5,6,6,7,7,8,8,8,9,9,9,9,9,9,9
E01000152,0,1,1,1,1,1,2,2,2,3,3,4,4,5,5,6,7,7,8,8,9,10,10,11,11,12,12,12,12,12,12,12
E01000153,1,1,1,2,2,3,3,4,5,6,7,8,9,10,11,12,14,15,16,17,19,20,21,22,23,24,25,26,26,26,26,26
E01000154,0,0,1,1,1,1,1,1,2,2,2,3,3,4,4,4,5,5,6,6,7,7,7,8,8,9,9,9,9,9,9,9
E01000155,0,0,1,1,1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,9,9,10,10,11,11,12,12,12,12,12,12
E01000156,0,0,1,1,1,1,1,2,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9,10,10,10,10,10,10,10
E01000157,0,0,0,0,1,1,1,1,1,1,2,2,2,2,3,3,3,4,4,4,5,5,5,5,6,6,6,6,6,6,6,6
E01000158,1,1,1,1,2,2,2,3,4,5,5,6,7,8,9,10,11,12,13,14,14,15,16,17,18,19,19,20,20,20,20,20
E01000159,1,1,2,2,3,3,4,5,6,7,8,9,10,12,13,14,16,17,19,20,22,23,24,25,27,28,29,30,30,30,30,30
E01000160,1,1,1,2,2,3,3,4,5,6,7,7,9,10,11,12,13,15,16,17,18,19,20,21,23,24,24,25,25,25,25,25
E01000161,0,1,1,1,2,2,2,3,3,4,5,5,6,7,8,9,9,10,11,12,13,14,15,15,16,17,17,18,18,18,18,18
E01000162,0,0,1,1,1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,9,9,10,10,11,11,12,12,12,12,12,12
E01000163,0,1,1,1,2,2,2,3,4,4,5,5,6,7,8,9,10,11,12,12,13,14,15,16,16,17,18,18,18,18,18,18
E01000164,1,1,1,2,2,3,3,4,5,6,7,7,9,10,11,12,13,14,16,17,18,19,20,21,22,23,24,25,25,25,25,25
E01000165,1,1,1,2,2,2,3,3,4,5,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,20,21,21,21,21,21
E01000166,1,1,1,2,2,3,3,4,5,6,6,7,8,10,11,12,13,14,15,17,18,19,20,21,22,23,24,24,25,25,25,25
E01000167,1,1,1,2,2,2,3,3,4,5,6,6,7,8,9,10,11,12,13,14,16,17,17,18,19,20,21,21,21,21,21,21
E01000168,1,1,1,2,2,3,3,4,5,6,7,8,9,10,11,12,14,15,16,17,19,20,21,22,23,24,25,26,26,26,26,26
E01000169,1,1,1,2,2,3,3,4,5,6,6,7,8,10,11,12,13,14,15,17,18,19,20,21,22,23,24,24,24,24,24,24
E01000170,1,1,2,2,2,3,3,4,5,6,7,8,9,10,12,13,14,15,17,18,19,20,22,23,24,25,26,26,26,26,26,26
E01000171,1,1,1,2,2,3,3,4,5,6,6,7,8,10,11,12,13,14,15,17,18,19,20,21,22,23,24,24,25,25,25,25
E01000172,1,1,1,2,2,2,3,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,21,22,22,22,22,22
E01000173,1,1,1,1,2,2,2,3,4,5,5,6,7,8,9,10,11,12,13,14,15,16,16,17,18,19,19,20,20,20,20,20
E01000174,0,1,1,1,1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,9,9,10,10,11,11,12,12,12,12,12,12
E01000175,1,1,2,2,3,3,4,5,6,7,8,9,10,11,13,14,16,17,18,20,21,23,24,25,26,28,29,29,29,29,29,29
E01000176,0,1,1,1,2,2,2,3,3,4,4,5,6,7,7,8,9,10,11,12,12,13,14,15,15,16,17,17,17,17,17,17
E01000177,1,1,2,2,3,3,4,5,6,7,8,9,10,11,13,14,15,17,18,19,21,22,24,25,26,27,28,29,29,29,29,29
E01000178,1,1,1,2,2,3,3,4,5,6,6,7,8,9,11,12,13,14,15,16,18,19,20,21,22,23,24,24,24,24,24,24
E01000179,0,0,0,1,1,1,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,8,8
E01000180,1,1,2,2,3,3,4,5,6,7,8,9,10,12,13,15,16,18,19,20,22,23,25,26,27,28,29,30,30,30,30,30
E01000181,0,0,1,1,1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,9,9,10,10,11,11,12,12,12,12,12,12
E01000182,0,0,0,0,1,1,1,1,1,1,2,2,2,2,3,3,3,4,4,4,4,5,5,5,6,6,6,6,6,6,6,6
