LSOA11CD,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000180,53,53,53,53,53,52,52,52,52,52,52,49,46,42,39,35,31,28,24,21,17,14,10,6,3,0,0,0,0,0,0,0
E01000181,49,49,49,47,46,45,45,44,43,42,41,38,35,31,28,25,22,19,16,13,11,8,6,4,2,0,0,0,0,0,0,0
E01000182,50,50,50,50,50,50,50,50,50,50,50,47,44,40,37,34,30,27,23,20,17,13,10,6,3,0,0,0,0,0,0,0
E01000183,45,45,45,45,45,45,45,45,45,45,44,42,39,36,33,30,27,24,21,18,15,12,9,5,2,0,0,0,0,0,0,0
E01000184,55,55,55,55,55,55,55,55,55,55,54,52,48,44,40,37,33,29,26,22,18,14,10,7,3,0,0,0,0,0,0,0
E01000185,63,63,63,63,63,63,63,63,63,63,62,59,55,50,46,42,38,33,29,25,21,16,12,8,3,0,0,0,0,0,0,0
E01000186,23,23,23,23,23,23,23,23,23,23,23,22,20,19,17,15,14,12,11,9,8,6,4,3,1,0,0,0,0,0,0,0
E01000187,33,33,33,33,33,33,33,33,33,33,33,31,29,27,24,22,20,18,15,13,11,9,6,4,2,0,0,0,0,0,0,0
E01000188,24,24,24,24,24,24,24,24,24,24,24,23,21,19,18,16,15,13,11,10,8,6,5,3,1,0,0,0,0,0,0,0
E01000189,14,14,14,14,14,14,14,14,14,14,14,13,12,11,10,9,8,7,6,5,5,4,3,2,1,0,0,0,0,0,0,0
E01000190,30,30,30,30,30,30,30,30,30,30,30,28,26,24,22,20,18,16,14,12,10,8,6,4,2,0,0,0,0,0,0,0
E01000191,17,17,17,17,17,17,17,17,17,17,16,15,14,13,12,11,10,9,8,7,5,4,3,2,1,0,0,0,0,0,0,0
E01000192,48,48,48,48,48,48,48,48,48,48,47,45,42,39,35,32,29,26,22,19,16,12,9,6,2,0,0,0,0,0,0,0
E01000193,33,33,33,33,33,33,33,33,33,33,32,31,28,26,24,22,20,17,15,13,11,8,6,4,2,0,0,0,0,0,0,0
E01000194,63,63,63,63,63,63,63,63,63,63,62,59,55,50,46,42,38,33,29,25,21,16,12,8,3,0,0,0,0,0,0,0
