LSOA21CD,Scenario_world,Scenario,Parameter,Unit,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000152,Electric Engagement,ZEV Mandate,PHEV cars,Number,26,34,39,40,44,50,56,67,76,86,94,102,97,92,86,80,74,67,61,53,47,39,32,26,21,15,11,8
E01000153,Electric Engagement,ZEV Mandate,PHEV cars,Number,18,25,29,31,34,38,43,50,57,64,70,75,71,67,63,59,55,49,45,39,34,28,23,19,15,11,9,6
E01000154,Electric Engagement,ZEV Mandate,PHEV cars,Number,15,19,23,24,27,30,33,39,46,51,56,60,57,53,50,46,43,39,35,31,27,23,19,15,12,9,7,5
E01000156,Electric Engagement,ZEV Mandate,PHEV cars,Number,20,26,34,37,41,45,49,56,63,69,74,80,76,71,66,62,57,51,45,40,34,28,23,18,14,10,8,6
E01000157,Electric Engagement,ZEV Mandate,PHEV cars,Number,18,24,29,33,36,40,44,50,56,62,67,71,68,64,60,56,52,47,41,36,31,26,21,16,14,10,7,5
E01000158,Electric Engagement,ZEV Mandate,PHEV cars,Number,17,24,29,31,35,39,43,50,57,63,69,74,70,66,62,57,53,48,43,38,32,28,22,18,14,10,8,6
E01000159,Electric Engagement,ZEV Mandate,PHEV cars,Number,27,36,44,48,52,59,65,77,87,97,105,113,107,102,94,88,82,74,66,59,50,42,35,27,21,16,12,9
E01000160,Electric Engagement,ZEV Mandate,PHEV cars,Number,26,34,39,42,46,52,58,69,79,88,97,105,100,94,87,82,75,69,62,55,48,40,32,26,21,16,11,9
E01000161,Electric Engagement,ZEV Mandate,PHEV cars,Number,23,31,36,38,42,48,53,63,73,81,89,96,91,86,80,74,69,63,57,50,44,37,30,23,19,14,11,8
E01000162,Electric Engagement,ZEV Mandate,PHEV cars,Number,20,28,34,38,42,47,52,61,68,76,82,88,83,78,74,69,64,58,51,45,38,32,26,21,16,12,10,7
E01000163,Electric Engagement,ZEV Mandate,PHEV cars,Number,17,23,27,29,31,35,38,45,51,57,62,66,62,59,55,51,48,44,39,35,30,25,21,17,13,10,7,5
