LSOA21CD,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000146,0,1,2,3,4,4,5,5,6,6,6,8,10,11,12,14,15,16,17,19,20,21,22,23,24,26,26
E01000147,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,15
E01000150,1,1,1,1,2,2,2,3,3,3,3,5,7,8,10,12,13,15,17,18,20,22,23,25,27,28,28
E01000151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E01000152,0,0,0,0,0,0,0,0,0,0,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,14,14
E01000153,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,5,5
E01000154,0,0,0,0,0,1,1,1,1,1,1,2,3,5,6,7,8,9,11,12,13,14,15,17,18,19,19
E01000156,0,0,0,1,1,1,1,1,1,1,1,2,3,3,4,4,5,6,6,7,7,8,8,9,10,10,10
E01000157,0,0,1,1,1,1,1,2,2,2,2,3,4,5,6,7,8,9,10,10,11,12,13,14,15,16,16
E01000158,0,0,0,1,1,1,1,1,1,1,2,3,5,6,8,10,11,13,14,16,18,19,21,22,24,26,26
E01000159,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,4,4,4,5,5,5,6,6
E01000161,0,0,0,0,1,1,1,1,1,1,1,2,2,3,3,4,4,5,5,6,7,7,8,8,9,9,9
E01000162,0,0,0,0,0,0,0,1,1,1,1,1,2,3,3,4,4,5,6,6,7,8,8,9,10,10,10
E01000163,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,5
E01000164,0,0,0,0,0,1,1,1,1,1,1,2,3,3,4,5,6,6,7,8,9,9,10,11,12,12,12
E01000165,0,0,0,0,0,1,1,1,1,1,1,3,4,6,8,10,11,13,15,17,19,20,22,24,26,27,27
E01000166,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,4,4,5,5,6,6,7,8,8,9,9,9
E01000167,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,3,4,4,5,5,5,6,6,7,7
E01000168,0,0,0,0,0,0,0,0,0,0,0,2,3,4,6,7,8,10,11,12,14,15,16,17,19,20,20
E01000169,1,2,4,5,6,7,8,10,11,12,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,43,43
E01000170,0,0,0,1,1,1,1,1,1,1,1,2,4,5,6,7,9,10,11,12,14,15,16,17,19,20,20
E01000171,0,1,2,3,3,3,4,4,5,5,5,6,7,8,9,10,10,11,12,13,14,15,16,17,18,19,19
E01000172,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,4,4,5,6,6,7,7,8,9,9,10,10
E01000173,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,4,4,5,6,6,7,8,8,9,10,10,10
E01000174,0,0,1,1,1,1,1,2,2,2,2,3,4,6,7,8,9,10,12,13,14,15,16,18,19,20,20
E01000175,0,0,0,0,1,1,1,1,1,1,1,3,5,6,8,10,11,13,15,17,18,20,22,23,25,27,27
E01000176,0,0,0,1,1,1,1,1,1,1,1,2,3,4,5,6,7,8,9,10,11,12,12,13,14,15,15
E01000177,0,1,2,3,4,4,5,6,7,7,7,9,10,12,13,14,16,17,18,20,21,22,24,25,26,28,28
E01000178,1,2,4,5,6,7,8,10,11,12,12,15,18,21,24,27,29,32,35,38,41,43,46,49,52,55,56
E01000179,1,2,3,5,6,6,8,9,10,10,10,12,13,14,15,16,17,19,20,21,22,23,24,25,26,28,28
E01000180,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,3,3,3,4,4,4,4,5,5
E01000181,0,1,2,3,3,4,5,5,6,7,7,9,12,14,17,19,21,24,26,29,31,34,36,38,41,43,44
E01000182,0,1,2,3,4,4,5,6,6,7,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
E01000183,0,0,1,1,1,1,2,2,2,2,2,5,8,11,14,16,19,22,25,28,30,33,36,39,42,44,44
E01000184,0,0,0,0,0,1,1,1,1,1,1,3,4,5,7,8,10,11,12,14,15,16,18,19,20,22,22
E01000185,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,3,4,4,4,5,5,5
E01000186,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,5,6,7,8,9,10,11,11,12,13,13
E01000187,0,0,1,1,1,1,1,2,2,2,2,3,4,4,5,6,6,7,8,9,10,10,11,12,13,13,13
E01000188,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,14,14
E01000189,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3
E01000190,0,0,0,0,0,0,0,0,0,1,1,1,2,3,4,4,5,6,7,7,8,9,10,10,11,12,12
E01000191,0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,7,8,9,10,11,13,14,15,16,17,18,18
E01000192,0,0,1,1,1,1,1,1,1,2,2,3,4,6,7,8,9,11,12,13,15,16,17,18,20,21,21
E01000193,0,0,0,0,1,1,1,1,1,1,1,3,4,5,7,8,10,11,13,14,16,17,18,20,21,23,23
E01000194,0,0,1,1,1,1,1,1,2,2,2,4,5,7,9,11,13,15,17,18,20,22,24,26,27,29,29
